x40[cm],x47[cm],x53.2[cm],x60[cm],x65[cm],x70[cm],x75[cm],x80[cm],x85[cm],x90[cm]
9.80,15.7,21.5,24.1,26.8,32.0,42.4,38.1,45.5,49.0
9.50,14.7,19.5,23.6,27.2,31.0,39.8,38.1,45.6,49.0
8.70,14.6,19.9,23.2,27.7,30.5,40.4,40.4,45.7,49.5
8.40,14.4,19.5,21.7,25.7,30.5,39.3,40.4,46.6,49.8
9.80,14.5,19.4,21.0,25.9,30.2,38.3,40.5,46.7,49.9
9.90,14.3,19.0,22.6,26.9,29.7,38.2,40.6,46.7,49.9
10.0,14.2,19.1,22.5,25.9,29.3,38.1,40.6,46.7,50.0
9.80,13.5,18.9,23.0,25.9,29.3,37.6,40.9,47.3,50.3
9.50,13.8,18.7,22.9,25.8,29.6,37.7,41.0,47.3,50.5
9.00,13.3,18.4,22.4,25.1,29.7,34.5,41.3,47.5,50.5
9.20,12.4,18.3,22.2,25.2,28.6,36.2,41.4,47.7,50.7
9.80,12.7,18.2,22.3,25.2,28.9,35.8,41.5,47.8,50.7
9.90,13.6,17.6,21.8,25.4,28.4,34.2,42.0,47.8,50.7
9.10,13.5,17.5,22.9,26.5,28.4,36.5,42.3,48.5,51.3
8.60,13.6,17.5,22.5,27.5,28.3,37.5,43.2,48.8,51.6