RG472g,RG101g,RG95g,RG168g
31.53,37.00,35.91,47.22
31.50,37.00,35.89,47.10
31.41,37.00,35.94,47.12
31.53,36.97,35.94,47.15
31.44,37.04,36.00,47.16
31.44,36.97,35.90,47.16
31.28,36.96,35.87,47.20
31.65,37.00,35.94,47.22
31.32,36.93,35.87,47.16
31.31,36.94,35.94,47.12
31.38,36.97,35.96,47.09
31.50,36.90,35.94,47.16
31.41,36.94,35.97,47.12
31.46,36.90,35.96,47.28
31.38,36.85,35.97,47.28
31.32,36.91,36.00,47.31
31.47,36.92,35.88,47.25
31.40,36.91,35.97,47.32
31.41,36.90,36.00,47.16
31.44,36.90,35.94,47.18